,artist
Teenage Fanclub,17226
The National,9347
Black Rebel Motorcycle Club,7107
Allo Darlin',6435
Travis,6365
British Sea Power,6350
Oasis,5424
Belle and Sebastian,4544
Blur,4431
Band of Horses,4254
The Beths,4064
The Posies,3983
Portugal. The Man,3920
DMA's,3814
Camera Obscura,3782
Liam Gallagher,3539
KT Tunstall,3536
Public Service Broadcasting,3465
Los Campesinos!,3318
The Coral,3264
Alvvays,3189
Acid House Kings,2910
Ash,2780
Euros Childs,2666
Guided by Voices,2390
The Stone Roses,2330
Yuck,2318
Mando Diao,2317
Broken Social Scene,2226
The Jesus and Mary Chain,2223
Ken Stringfellow,2144
Bill Ryder-Jones,2131
Gruff Rhys,2072
Manic Street Preachers,1968
First Aid Kit,1888
The Go-Betweens,1797
Rolling Blackouts Coastal Fever,1788
Noel Gallagher's High Flying Birds,1783
Courtney Barnett,1714
Aberfeldy,1648
Beach Fossils,1641
Nada Surf,1624
"The Reds, Pinks and Purples",1545
Yo La Tengo,1478
Feeder,1438
Jonny,1388
The War on Drugs,1385
Big Star,1354
Spiritualized,1341
Neutral Milk Hotel,1320
The Boo Radleys,1319
The Strokes,1301
Laurel Music,1287
DIIV,1285
Cars Can Be Blue,1284
Gorky's Zygotic Mynci,1237
The Bluetones,1199
Wiretree,1177
I Was A King,1175
Embrace,1164
The Beatles,1164
Tullycraft,1164
Veronica Falls,1153
Elephant Stone,1146
The Go! Team,1144
Kula Shaker,1136
Beach Bunny,1132
Royal Headache,1131
Ambulance Ltd,1112
Real Estate,1083
Ride,1070
My Sad Captains,1067
The Besties,1066
Grizzly Bear,1053
Dodgy,1052
Alpaca Sports,1032
Attic Lights,1029
The Magnetic Fields,1023
The Seahorses,1011
Jens Lekman,1008
Ultimate Painting,992
Franz Ferdinand,989
Jason Falkner,957
James,946
Superchunk,942
Canadian Invasion,937
The Boy Least Likely To,932
Gomez,920
Someone Still Loves You Boris Yeltsin,919
Sharon Van Etten,914
The Decemberists,911
Wilco,906
Vampire Weekend,900
The Black Keys,900
The Wedding Present,896
Farrah,892
Graham Coxon,890
Matthew Sweet,884
Pixies,884
Quivers,872
Bob Dylan,872
Richard Ashcroft,869
Elva,869
The Disciplines,865
I'm from Barcelona,863
Beach House,860
Kaiser Chiefs,860
The Primary 5,858
The Bats,858
The Lucksmiths,850
The Kinks,848
Death Cab for Cutie,843
Mogwai,829
Kurt Vile,818
Weezer,808
Helvetia,786
The Wellingtons,785
BMX Bandits,784
Explosions in the Sky,782
Sugarplum Fairy,782
The Verve,777
Eels,775
Elliott Smith,771
Shed Seven,769
Slowdive,755
GRMLN,754
The Charlatans,752
Silver Jews,750
The Mountain Goats,747
Lande Hekt,746
Martin Courtney,742
Sloan,738
Andy Bell,738
Club 8,734
The Shins,734
Kings of Convenience,729
Phoebe Bridgers,725
Peggy Sue,720
The History of Apple Pie,720
of Montreal,719
Grouplove,717
Army Navy,716
The Pains of Being Pure at Heart,714
Sebadoh,708
The Pastels,705
Tobin Sprout,703
Ed Harcourt,698
The Pale Fountains,690
Supergrass,679
Math and Physics Club,679
Super Furry Animals,678
The Wave Pictures,678
Johnny Foreigner,667
Spearmint,666
Johnny Flynn,665
Ocean Colour Scene,664
Peter Bjorn and John,662
Beat Happening,658
Laura Marling,655
The Clientele,649
Snow Patrol,649
The New Pornographers,649
Dr. Dog,642
Peaness,637
Suede,634
Mark Morriss,632
Felt,626
Pavement,626
The Legends,622
Fleet Foxes,619
The Beautiful South,615
Robert Forster,614
Jeremy Messersmith,613
Built to Spill,607
Stereophonics,605
The Goa Express,598
Tracyanne & Danny,596
The Ethnobabes,593
Grrrl Gang,589
Fear of Men,588
Iron & Wine,587
The Apples in Stereo,587
Jenny Lewis,587
The Sea and Cake,586
Feist,584
Help Stamp Out Loneliness,583
Arcade Fire,580
The Proper Ornaments,576
Galaxie 500,574
Primal Scream,572
Luna,570
The Byrds,567
Lauds,563
The Orchids,562
The Lemonheads,562
Silver Sun,560
Flyying Colours,558
The Minders,558
Kiwi Jr.,556
Flamin' Groovies,555
Sweet Baboo,555
Dylan Mondegreen,546
Great Lake Swimmers,545
Cast,542
The Dandy Warhols,542
Waxahatchee,540
Collapse Under the Empire,538
Fountains of Wayne,535
PJ Harvey,531
The Sherlocks,531
Mainland Break,530
Hovvdy,529
Young Guv,526
New Order,524
I Am Kloot,522
The Field Mice,522
Elf Power,521
Ryan Adams,520
God Is an Astronaut,520
Shack,520
Soak,519
Bishop Allen,518
Triptides,517
Badly Drawn Boy,516
Belle & Sebastian,516
my bloody valentine,509
Carissa's Wierd,507
R.E.M.,506
Brendan Benson,506
The Vaselines,505
The View,503
Ducks Ltd.,499
Boyracer,499
Nick Lowe,497
Fanfarlo,496
Pale Blue Eyes,493
Television Personalities,492
2nd Grade,490
Bon Iver,490
Pulp,489
Material Issue,488
The Durutti Column,487
The Antlers,487
Johnny Cash,486
Kings of Leon,483
Dropkick,480
Saturday Looks Good To Me,479
pg.lost,479
The Black Angels,478
The Radio Dept.,477
Neko Case,475
Keane,474
J Mascis,474
Dananananaykroyd,471
Echo & the Bunnymen,469
Papercuts,467
Pernice Brothers,467
Night Shop,464
Parquet Courts,464
The Helio Sequence,463
The Delgados,460
The Fratellis,459
Grant Nicholas,458
Father John Misty,457
Mojave 3,453
Dear Nora,450
Stars,450
Girls,450
The Microphones,447
José González,445
Hurricane #1,444
Velvet Crush,444
The Vaccines,443
The Envy Corps,443
Andrew Bird,441
Cass McCombs,440
Songs: Ohia,439
Trashcan Sinatras,438
Interpol,435
Idlewild,433
Dawes,433
Icecream Hands,427
Daniel Johnston,427
Strawberry Story,425
The New Mendicants,425
Whyte Horses,425
The Yards,424
Joy Division,423
Bonny Doon,423
Clap Your Hands Say Yeah,420
Grant Lee Buffalo,420
Fancey,419
The Rosebuds,418
Sonic Youth,417
Puressence,417
She & Him,417
The Electric Soft Parade,416
Subsonic Eye,416
Okkervil River,414
Beirut,414
The Long Winters,414
Delays,411
Popsicle,409
Circulatory System,407
Sambassadeur,406
Aimee Mann,403
David Bowie,403
The Softies,402
Charlotte Hatherley,401
Tony Molina,400
Comet Gain,400
John Squire,400
Andy Shauf,399
Mo Troper,398
Orange Juice,398
Surfer Blood,395
The Warlocks,395
The Flaming Lips,393
The Little Ones,390
María Elena Walsh,389
East River Pipe,389
Spoon,388
Woods,388
Neil Young,388
The Wannadies,384
Babaganouj,383
The Divine Comedy,381
Land of Talk,381
Wild Nothing,380
Dinosaur Jr.,374
Ólafur Arnalds,374
The Mary Onettes,373
Tommy Keene,372
Destroyer,372
Sea Power,369
Remember Sports,367
Best Coast,365
Fruit Bats,365
Archers of Loaf,364
The Orange Peels,362
The Pipettes,358
Talulah Gosh,358
A Sunny Day in Glasgow,358
Crocodiles,358
Leonard Cohen,358
Rilo Kiley,357
The Head and the Heart,357
Foster the People,356
Lo Talker,352
Matt Pond PA,349
The Velvet Underground,348
Sparklehorse,348
The Bevis Frond,347
The Weakerthans,347
The Dodos,347
The Bear Quartet,346
Chad VanGaalen,345
Sun Kil Moon,344
Japanese Breakfast,344
Metric,343
Architecture in Helsinki,341
Ned's Atomic Dustbin,341
The Rifles,340
Lightships,339
Roddy Woomble,339
The High Llamas,338
Car Seat Headrest,338
The Tubs,335
Trace Mountains,334
The Photocopies,333
Shout Out Louds,331
Beulah,331
Camper Van Beethoven,331
Lush,330
Cosmic Rough Riders,330
Paul Weller,330
Crazy Ex-Girlfriend Cast,328
The American Analog Set,327
The Mendoza Line,326
The Album Leaf,325
Wavves,325
Suburban Kids with Biblical Names,324
The Who,322
Patience,322
Sobs,321
Tarentel,320
Bloc Party,320
Sondre Lerche,319
Frank Black,319
The Ladybug Transistor,319
The Cribs,319
Soccer Mommy,318
Taken by Trees,318
Bright Eyes,316
The Zombies,316
Versus,316
This Is the Kit,315
The Concretes,315
Martha,315
Pelle Carlberg,315
Deerhunter,314
Field Music,314
Close Lobsters,313
Sleeper,313
The Telephone Numbers,313
The Morning After Girls,313
St. Vincent,312
Stephin Merritt,311
Quasi,310
The Smiths,310
The dB's,309
Midlake,308
The Jam,307
Nick Drake,307
Magnolia Electric Co.,306
Ian Brown,306
The Beach Boys,306
The Smithereens,305
My Morning Jacket,305
No Age,305
Mark Gardener,304
Widowspeak,304
A Place to Bury Strangers,302
Courtney Barnett & Kurt Vile,301
The Reindeer Section,301
Devon Williams,300
Wye Oak,300
Kasabian,300
The Kooks,300
Half Man Half Biscuit,300
Pale Saints,299
Hayden,299
Mattias Alkberg,298
Family of the Year,298
The Shining,297
Fritz,297
Doves,296
Jason Collett,295
Laura Veirs,294
Cinerama,294
Islands,293
Bears,291
The Bug Club,291
Donovan,291
Northern Uproar,291
Cults,291
The School,290
Trembling Blue Stars,290
The Clean,289
Tennis,289
bob hund,289
Splitsville,289
Telekinesis,288
Koji Kondo,288
Fred Thomas,287
The Vines,287
Ben Kweller,287
Alex G,286
Outrageous Cherry,286
Eux Autres,286
The Fresh & Onlys,285
Chris Cohen,285
By The Sea,284
Nick Jago,284
Patrick Wolf,283
The Olivia Tremor Control,283
Turin Brakes,283
The Asteroid #4,283
The Monochrome Set,282
Exlovers,281
John Lennon,281
Lightspeed Champion,281
Kevin Devine,279
Johnny Marr,279
Mates of State,279
Starsailor,278
Coldplay,278
NoSo,278
The Killers,277
Teleman,276
The Libertines,276
Tallies,275
Superdrag,275
Diners,274
Massage,274
The Rubinoos,273
Athlete,273
Brittle Stars,273
The Jayhawks,273
The Umbrellas,273
The Raveonettes,272
Jellyfish,271
MGMT,270
Here We Go Magic,270
The Brian Jonestown Massacre,270
Casiotone for the Painfully Alone,269
The Lightning Seeds,269
Dirty Projectors,269
Ted Leo and the Pharmacists,269
The Thermals,269
Wire,269
Arnold,268
McCarthy,268
14 Iced Bears,267
Holiday Ghosts,267
M. Ward,266
Andy Watts,266
Cotton Mather,266
Milky Wimpshake,265
Irving,265
The Smittens,264
Nicolas Huart,264
Starlet,263
Eternal Summers,263
Pinback,263
The Cleaners From Venus,263
Tortoise,263
Richard Swift,263
Guster,263
Arab Strap,263
Robyn Hitchcock,262
Bonnie 'Prince' Billy,262
Marshall Crenshaw,262
Chris von Sneidern,261
Sigur Rós,261
Boston Spaceships,260
Tim Burgess,260
The Band,260
Say Sue Me,260
Bill Callahan,260
The Auteurs,260
"Soon, She Said",260
Foxygen,259
The La's,259
Wheat,259
The Drums,259
The House of Love,258
Deerhoof,257
Honeyblood,257
Lou Reed,257
Beachy Head,257
Tapes 'n Tapes,256
The Hit Parade,256
James Dean Bradfield,256
Jane Weaver,255
Windsor For The Derby,254
Karl Blau,253
The Primitives,253
Shearwater,253
Ferns,253
Darren Hayman,252
Fazerdaze,252
The Cry,252
Mono,251
18 Wheeler,251
Nap Eyes,251
Kent,250
Film School,250
The Broken West,249
The Kingsbury Manx,249
The Lees of Memory,248
Damien Jurado,247
The Walkmen,247
Tilly and the Wall,246
Electrelane,246
Reverie Sound Revue,246
Tame Impala,246
Stars in Coma,246
Russian Red,245
Lou Barlow,245
Television,245
Mazzy Star,245
M83,244
